Field_name,Field_description,Mapping
Drug name,Drug name,['MedicationAdministration.medication[x]']
Drug dose,Dose/volume of drug/IO administered,['MedicationAdministration.dosage']
Drug unit,Units of drug,['MedicationAdministration.dosage']
Drug order date-time,,['MedicationRequest.authoredOn']
Drug administered date-time,Date-time med/IO administered /started,['MedicationAdministration.effective[x]']
Drug complete date-time,End date-time for IOs,['MedicationAdministration.effective[x]']
Diagnostic test ordered,"Name of diagnostic test (e.g., chest xray)","['ServiceRequest.code', 'Procedure.code']"
Test ordered date-time,Date-time ordered,"['ServiceRequest.authoredOn', 'ServiceRequest.occurrence[x]']"
Test complete date-time,Date-time completed,['Procedure.performed[x]']
Diagnostic test result,"e.g., left ventricular ejection fraction e.g., central venous catheter, foley catheter",['DiagnosticReport.result']
Catheter type,,"['Device.type', 'Procedure.focalDevice']"
Catheter ordered date-time,Date-time intervention ordered,['ServiceRequest.authoredOn']
Catheter complete date-time,Date-time intervention completed,['Procedure.performed[x]']
Catheter removed date-time,Date-time catheter removed,['Procedure.performed[x]']
Urine output,Date-time of measurement,['Observation.code']
Urine output date-time,Measurement,['Observation.code']
Drain output,,['Observation.code']
Drain output fluid type,"e.g., pleural drainage",['Observation.code']
Drain output date-time,Date-time of measurement,['Observation.code']
Fluid input,,['Observation.code']
Fluid input type,"e.g., crystalloid infusion, colloid transfusion",['Observation.code']
Fluid input date-time,,['Observation.code']
Hourly fluid balance,,['Observation.code']
Hourly fluid balance date-time,Date-time measured,['Observation.code']
Hospital length of stay,,['Encounter.length']
ICU length of stay,,"['Encounter.location.period', 'Encounter.length']"
Days of vasopressor,Days on at least one vasopressor,"['Observation', 'MedicationAdministration']"
Days of mechanical ventilation,,"['ServiceRequest', 'Observation', 'Procedure']"
Disposition,Hospital discharge disposition,['Encounter.hospitalization.dischargeDisposition']
Hospital mortality,,['Encounter.hospitalization.dischargeDisposition']
Death date-time,Date-time,['Condition']
